case,brick,pid,node,device,weight,tier,collapse,status,timestamp
C1602_CASE_001,sagco-evo,—,WEIGHT_NODE,192.168.1.100,130,FULL_FLEET,CRITICAL (variance 32),0,2026-06-05T01:58:35Z
C1602_CASE_001,sagco-evo,—,COORDS_NODE,192.168.1.100,130,FULL_FLEET,CRITICAL (variance 32),COMPUTABLE,2026-06-05T01:59:03Z
C1602_CASE_001,sagco-translate,—,WEIGHT_NODE,192.168.1.100,115,FULL_FLEET,CRITICAL (variance 32),COMPUTABLE,2026-06-05T01:59:03Z
C1602_CASE_001,sagco-evo,—,COORDS_NODE,192.168.1.100,130,FULL_FLEET,CRITICAL (variance 32),COMPUTABLE,2026-06-05T01:59:33Z
C1602_CASE_001,sagco-evo,—,COORDS_NODE,192.168.1.100,135,FULL_FLEET,CRITICAL (variance 32),COMPUTABLE,2026-06-05T01:59:34Z
