case,label,benchmark_terms,actual_terms,matched,missing,extra,score,status,timestamp
C1602_CASE_001,ACM_IEEE_SE_BENCHMARK,111,126,13,98,113,11.71,BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,ABET_OUTCOMES_BENCHMARK,62,126,7,55,119,11.29,BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,GRAY_LITERATURE_INDUSTRY_BENCHMARK,93,126,19,74,107,20.43,BELOW_BENCHMARK,2026-06-04T22:09:02Z
C1602_CASE_001,ACM_IEEE_SE_BENCHMARK_v2,111,344,59,52,285,53.15,BELOW_BENCHMARK,2026-06-04T22:09:52Z
C1602_CASE_001,ABET_OUTCOMES_BENCHMARK_v2,62,344,36,26,308,58.06,BELOW_BENCHMARK,2026-06-04T22:09:52Z
C1602_CASE_001,GRAY_LITERATURE_INDUSTRY_BENCHMARK_v2,93,344,54,39,290,58.06,BELOW_BENCHMARK,2026-06-04T22:09:52Z
